device_use,devicetype,latitude,longitude,location_parameters,device_status,network,Cost
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),55914
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),87256
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),60105
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),68011
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),61499
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),52764
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),67173
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),52630
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),30850
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,32953
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,44042
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,52895
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,98424
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,92790
Wifi Device Counter,nCounter,-38.1494367,144.3774611,unknown,Active,LoraWAN (TTN),36096
Wifi Device Counter,nCounter,-38.1446587,144.3592925,unknown,Assigned,LoraWAN (TTN),91531
Indoor Temp Sensor,Elsys.SE ESM5K,-38.144711,144.360452,unknown,unknown,LoraWAN (TTN),82366
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),6397
Wifi Device Counter,nCounter,-38.1493122,144.3770579,unknown,Active,LoraWAN (TTN),70387
Wifi Device Counter,nCounter,-38.1447631,144.3595969,unknown,Active,LoraWAN (TTN),8330
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,LoraWAN (TTN),80654
Wifi Device Counter,nCounter,-38.1489155,144.3584489,unknown,Active,LoraWAN (TTN),75401
Wifi Device Counter,nCounter,-38.1474393,144.3576924,unknown,Active,LoraWAN (TTN),15437
Wifi Device Counter,Cisco Meraki,-38.148573,144.361279,unknown,unknown,Not LoraWAN,10431
Parking,Turbo,-38.1521818,144.3642471,2P Diagonal,Active,LoraWAN (TTN),67339
Parking,Turbo,-38.1525202,144.3632244,2P Parrallel,Active,LoraWAN (TTN),89252
Parking,Turbo,-38.1485123,144.3611459,2P Parrallel,Active,LoraWAN (TTN),25891
Parking,Turbo,-38.1495716,144.3610219,2P Parrallel,Active,LoraWAN (TTN),39051
Parking,Turbo,-38.1498852,144.3614617,2P Parrallel,Active,LoraWAN (TTN),74402
Parking,Turbo,-38.1510205,144.3573064,2P Parrallel,Active,LoraWAN (TTN),70460
Parking,Turbo,-38.1483584,144.3646351,2P Median,Active,LoraWAN (TTN),75381
Parking,Turbo,-38.1432402,144.3611037,3P Diagonal,Active,LoraWAN (TTN),46888
Parking,Turbo,-38.1514218,144.364608,2P Diagonal,To be installed,LoraWAN (TTN),75367
Wifi Device Counter,nCounter,-38.1467049,144.3683997,unknown,Active,LoraWAN (TTN),96393
Wifi Device Counter,nCounter,-38.1475187,144.3737408,unknown,Inactive,LoraWAN (TTN),67693
Wifi Device Counter,nCounter,-38.1861465,144.3938752,unknown,Active,LoraWAN (TTN),82023
Wifi Device Counter,nCounter,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),91653
Wifi Device Counter,nCounter,-38.1456638,144.3587789,unknown,Assigned,LoraWAN (TTN),21434
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,79370
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,30622
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,21290
Wifi Device Counter,nCounter,-38.1686428,144.3509363,unknown,unknown,LoraWAN (TTN),33043
Wifi Device Counter,nCounter,-38.1691458,144.3511856,unknown,Active,LoraWAN (TTN),21119
Wifi Device Counter,nCounter,-38.1687411,144.3510241,unknown,unknown,LoraWAN (TTN),32064
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1496331,144.360899,unknown,unknown,LoraWAN (TTN),13451
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1493579,144.3595975,unknown,unknown,LoraWAN (TTN),15906
Wifi Device Counter,Cisco Meraki,-38.147158,144.358161,unknown,unknown,Not LoraWAN,54660
Wifi Device Counter,Cisco Meraki,-38.143364,144.361926,unknown,unknown,Not LoraWAN,96575
Wifi Device Counter,Cisco Meraki,-38.147308,144.373781,unknown,unknown,Not LoraWAN,2145
